3,58E+01;2,28E+01;12,97;14,77475626
5,07E+01;2,62E+01;24,47;
2,45E+01;2,03E+01;4,22;
3,59E+01;2,30E+01;12,95;
2,80E+01;2,35E+01;4,55;
2,47E+01;2,47E+01;0,03;
1,90E+01;2,17E+01;-2,73;
2,38E+01;2,75E+01;-3,65;
1,27E+01;2,05E+01;-7,78;
5,06E+01;2,58E+01;24,76;
2,01E+01;2,10E+01;-0,88;
4,00E+01;2,73E+01;12,66;
3,15E+01;2,31E+01;8,38;
6,75E+01;5,11E+01;16,44;
2,10E+01;2,11E+01;-0,14;
3,27E+01;2,93E+01;3,43;
3,98E+01;2,72E+01;12,64;
2,11E+01;2,16E+01;-0,54;
2,09E+01;2,84E+01;-7,54;
4,21E+01;2,86E+01;13,46;
3,16E+01;2,90E+01;2,65;
2,50E+01;2,20E+01;2,98;
1,54E+01;2,00E+01;-4,63;
2,08E+01;2,04E+01;0,38;
2,17E+01;2,23E+01;-0,58;
3,47E+01;2,17E+01;13,03;
2,18E+01;2,88E+01;-6,95;
2,74E+01;2,42E+01;3,24;
3,35E+01;2,90E+01;4,53;
3,62E+01;3,60E+01;0,20;
3,32E+01;4,18E+01;-8,64;
7,90E+00;2,24E+01;-14,51;
7,20E+00;2,70E+01;-19,83;
9,60E+00;2,19E+01;-12,26;
2,43E+01;2,38E+01;0,47;
2,27E+01;2,17E+01;0,98;
3,03E+01;2,42E+01;6,14;
6,90E+00;1,98E+01;-12,94;
2,64E+01;2,25E+01;3,88;
3,71E+01;2,32E+01;13,93;
5,41E+01;2,08E+01;33,29;
1,21E+01;2,03E+01;-8,21;
3,68E+01;2,05E+01;16,35;
2,18E+01;2,17E+01;0,08;
6,04E+01;3,94E+01;21,03;
3,02E+01;2,29E+01;7,31;
1,94E+01;2,08E+01;-1,43;
1,91E+01;2,08E+01;-1,67;
2,33E+01;2,09E+01;2,39;
1,23E+01;2,02E+01;-7,87;
3,70E+00;2,05E+01;-16,78;
3,20E+00;2,11E+01;-17,89;
1,89E+01;3,14E+01;-12,51;
2,82E+01;2,98E+01;-1,55;
8,00E+00;2,05E+01;-12,55;
1,47E+01;2,04E+01;-5,66;
3,40E+01;2,51E+01;8,91;
