21,40;28,64;7,24;9,60887874
33,50;31,16;-2,34;
38,10;33,69;-4,41;
26,50;32,28;5,78;
43,20;28,06;-15,14;
28,40;18,22;-10,18;
32,30;32,16;-0,14;
15,00;18,00;3,00;
27,50;25,45;-2,05;
60,00;41,81;-18,19;
56,50;38,41;-18,09;
45,10;42,16;-2,94;
25,60;37,84;12,24;
24,50;24,08;-0,42;
36,40;33,22;-3,18;
27,70;27,42;-0,28;
22,60;32,28;9,68;
28,40;27,92;-0,48;
30,70;32,59;1,89;
24,10;31,56;7,46;
31,80;27,42;-4,38;
21,60;22,61;1,01;
36,10;38,19;2,09;
40,80;45,31;4,51;
13,00;18,11;5,11;
37,00;40,81;3,81;
20,10;14,08;-6,02;
23,00;30,69;7,69;
25,30;27,50;2,20;
24,40;22,88;-1,52;
21,80;24,56;2,76;
22,60;21,63;-0,98;
17,20;22,50;5,30;
32,40;21,17;-11,23;
45,20;27,84;-17,36;
10,30;15,63;5,33;
12,00;18,28;6,28;
14,40;19,16;4,76;
33,80;26,41;-7,39;
25,90;36,19;10,29;
33,30;32,53;-0,77;
27,70;32,75;5,05;
34,40;34,81;0,41;
25,00;27,98;2,98;
9,00;10,77;1,77;
22,20;38,47;16,27;
34,00;27,80;-6,20;
22,20;25,53;3,33;
11,30;19,53;8,23;
14,60;21,72;7,12;
30,30;36,97;6,67;
53,70;44,84;-8,86;
35,20;31,69;-3,51;
29,50;28,89;-0,61;
34,50;27,81;-6,69;
20,30;24,23;3,93;
53,40;33,69;-19,71;
31,10;25,17;-5,93;
43,30;34,47;-8,83;
30,70;20,44;-10,26;
28,80;30,81;2,01;
25,30;18,02;-7,28;
30,70;29,20;-1,50;
9,60;15,44;5,84;
21,90;23,58;1,68;
19,60;29,67;10,07;
14,20;20,77;6,57;
49,50;31,42;-18,08;
20,40;24,06;3,66;
23,80;25,53;1,73;
21,70;25,00;3,30;
16,80;14,88;-1,92;
12,00;18,56;6,56;
18,60;21,05;2,45;
32,80;36,09;3,29;
29,60;20,59;-9,01;
58,60;34,72;-23,88;
14,20;20,06;5,86;
19,50;20,92;1,42;
47,50;39,63;-7,88;
30,70;33,84;3,14;
25,80;33,34;7,54;
14,50;26,00;11,50;
30,70;35,06;4,36;
20,50;38,19;17,69;
22,10;28,98;6,88;
17,50;28,11;10,61;
11,40;16,92;5,52;
27,60;28,41;0,81;
13,90;29,25;15,35;
31,90;30,38;-1,52;
27,90;30,88;2,98;
32,00;37,25;5,25;
12,40;21,47;9,07;
12,90;31,17;18,27;
28,00;39,44;11,44;
13,10;21,72;8,62;
27,80;30,61;2,81;
17,50;27,50;10,00;
10,30;24,34;14,04;
5,80;20,58;14,78;
41,30;37,25;-4,05;
22,60;20,23;-2,37;
51,40;26,02;-25,38;
18,70;21,61;2,91;
23,60;27,28;3,68;
13,20;21,11;7,91;
6,90;21,20;14,30;
7,50;17,89;10,39;
